PID,Archive ID,Letter Number,Archive URL,iFrame
p00ylk4y,287878,2349,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287878,http://www.bu.edu/dbin/archives/content/holdings/LFA2349/HTML 
p00ylk4p,287881,2350,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287881,http://www.bu.edu/dbin/archives/content/holdings/LFA2350/HTML 
p00ylk41,287886,2351,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287886,http://www.bu.edu/dbin/archives/content/holdings/LFA2351/HTML 
p00ylk36,287889,2352,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287889,http://www.bu.edu/dbin/archives/content/holdings/LFA2352/HTML 
p00ylf29,287892,2333,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287892,http://www.bu.edu/dbin/archives/content/holdings/LFA2333/HTML 
p00ylg6r,287897,2334,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287897,http://www.bu.edu/dbin/archives/content/holdings/LFA2334/HTML 
p00ylf1g,287901,2335,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287901,http://www.bu.edu/dbin/archives/content/holdings/LFA2335/HTML 
p00ylf0z,306141,2336,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306141,http://www.bu.edu/dbin/archives/content/holdings/LFA2336/HTML 
p00ylf0f,306147,2338,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306147,http://www.bu.edu/dbin/archives/content/holdings/LFA2338/HTML 
p00yldzv,306151,2340,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306151,http://www.bu.edu/dbin/archives/content/holdings/LFA2340/HTML 
p00yldz2,306164,2342,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306164,http://www.bu.edu/dbin/archives/content/holdings/LFA2342/HTML 
p00ylk2b,306870,2353,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306870,http://www.bu.edu/dbin/archives/content/holdings/LFA2353/HTML 
p00ylk1v,306874,2354,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306874,http://www.bu.edu/dbin/archives/content/holdings/LFA2354/HTML 
p00ylk0t,306879,2355,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306879,http://www.bu.edu/dbin/archives/content/holdings/LFA2355/HTML 
p00yljzm,306884,2357,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306884,http://www.bu.edu/dbin/archives/content/holdings/LFA2357/HTML 
p00yljyf,306887,2358,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306887,http://www.bu.edu/dbin/archives/content/holdings/LFA2358/HTML 
p00yljxx,306891,2359,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306891,http://www.bu.edu/dbin/archives/content/holdings/LFA2359/HTML 
p00yljxf,306894,2360,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306894,http://www.bu.edu/dbin/archives/content/holdings/LFA2360/HTML 
p00yljwk,306900,2361,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306900,http://www.bu.edu/dbin/archives/content/holdings/LFA2361/HTML 
p00yljvk,306907,2362,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306907,http://www.bu.edu/dbin/archives/content/holdings/LFA2362/HTML 
p00yljv0,306911,2363,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306911,http://www.bu.edu/dbin/archives/content/holdings/LFA2363/HTML 
p00yljt6,306920,2364,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306920,http://www.bu.edu/dbin/archives/content/holdings/LFA2364/HTML 
p00yljs7,306923,2365,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306923,http://www.bu.edu/dbin/archives/content/holdings/LFA2365/HTML 
p00yljrn,306927,2366,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306927,http://www.bu.edu/dbin/archives/content/holdings/LFA2366/HTML 
p00yljqy,306931,2367,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306931,http://www.bu.edu/dbin/archives/content/holdings/LFA2367/HTML 
p00yljq5,306936,2368,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306936,http://www.bu.edu/dbin/archives/content/holdings/LFA2368/HTML 
p00yljpf,306940,2369,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306940,http://www.bu.edu/dbin/archives/content/holdings/LFA2369/HTML 
p00yljp4,306945,2370,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306945,http://www.bu.edu/dbin/archives/content/holdings/LFA2370/HTML 
p00yljnr,306949,2371,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306949,http://www.bu.edu/dbin/archives/content/holdings/LFA2371/HTML 
p00yljn9,306960,2372,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306960,http://www.bu.edu/dbin/archives/content/holdings/LFA2372/HTML 
p00yljmz,306965,2373,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=306965,http://www.bu.edu/dbin/archives/content/holdings/LFA2373/HTML 
p00yljmv,307031,2374,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=307031,http://www.bu.edu/dbin/archives/content/holdings/LFA2374/HTML 
p00yljmp,307037,2375,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=307037,http://www.bu.edu/dbin/archives/content/holdings/LFA2375/HTML 
p00yljmg,326788,2376,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=326788,http://www.bu.edu/dbin/archives/content/holdings/LFA2376/HTML 
p00yljm8,326810,2377,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=326810,http://www.bu.edu/dbin/archives/content/holdings/LFA2377/HTML 
p00yljlx,326838,2378,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=326838,http://www.bu.edu/dbin/archives/content/holdings/LFA2378/HTML 
p00yljlm,326842,2379,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=326842,http://www.bu.edu/dbin/archives/content/holdings/LFA2379/HTML 
p00ylkv1,327354,2380,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=327354,http://www.bu.edu/dbin/archives/content/holdings/LFA2380/HTML 
p00yljl9,327377,2381,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=327377,http://www.bu.edu/dbin/archives/content/holdings/LFA2381/HTML 
p00yljkz,327482,2383,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=327482,http://www.bu.edu/dbin/archives/content/holdings/LFA2383/HTML 
p00ylktr,327486,2384,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=327486,http://www.bu.edu/dbin/archives/content/holdings/LFA2384/HTML 
p00yljkp,327489,2385,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=327489,http://www.bu.edu/dbin/archives/content/holdings/LFA2385/HTML 
p00yljk7,327493,2386,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=327493,http://www.bu.edu/dbin/archives/content/holdings/LFA2386/HTML 
p00yljjm,329769,2387,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=329769,http://www.bu.edu/dbin/archives/content/holdings/LFA2387/HTML 
p00yljjm,330678,2388,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=330678,http://www.bu.edu/dbin/archives/content/holdings/LFA2388/HTML 
p00yljhj,330683,2389,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=330683,http://www.bu.edu/dbin/archives/content/holdings/LFA2389/HTML 
p00yljgz,330685,2390,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=330685,http://www.bu.edu/dbin/archives/content/holdings/LFA2390/HTML 
p00yljgr,330691,2391,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=330691,http://www.bu.edu/dbin/archives/content/holdings/LFA2391/HTML 
p00yljgc,330698,2393,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=330698,http://www.bu.edu/dbin/archives/content/holdings/LFA2393/HTML 
p00yljg5,330699,2394,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=330699,http://www.bu.edu/dbin/archives/content/holdings/LFA2394/HTML 
p00yktz2,330704,2395,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=330704,http://www.bu.edu/dbin/archives/content/holdings/LFA2395/HTML 
p00ykty7,332467,2396,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=332467,http://www.bu.edu/dbin/archives/content/holdings/LFA2396/HTML 
p00yktb6,334413,2397,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334413,http://www.bu.edu/dbin/archives/content/holdings/LFA2397/HTML 
p00yktx7,334426,2398,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334426,http://www.bu.edu/dbin/archives/content/holdings/LFA2398/HTML 
p00yktw7,334441,2399,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334441,http://www.bu.edu/dbin/archives/content/holdings/LFA2399/HTML 
p00yktvg,334448,2400,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334448,http://www.bu.edu/dbin/archives/content/holdings/LFA2400/HTML 
p00ykttr,334458,2401,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334458,http://www.bu.edu/dbin/archives/content/holdings/LFA2401/HTML 
p00ykt9g,334470,2402,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334470,http://www.bu.edu/dbin/archives/content/holdings/LFA2402/HTML 
p00yktt5,334477,2403,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334477,http://www.bu.edu/dbin/archives/content/holdings/LFA2403/HTML 
p00yktsk,334493,2404,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334493,http://www.bu.edu/dbin/archives/content/holdings/LFA2404/HTML 
p00ykv58,334613,2405,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334613,http://www.bu.edu/dbin/archives/content/holdings/LFA2405/HTML 
p00yktry,334619,2406,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334619,http://www.bu.edu/dbin/archives/content/holdings/LFA2406/HTML 
p00yktrc,334623,2407,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334623,http://www.bu.edu/dbin/archives/content/holdings/LFA2407/HTML 
p00yktql,334626,2408,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334626,http://www.bu.edu/dbin/archives/content/holdings/LFA2408/HTML 
p00yktpr,334732,2409,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334732,http://www.bu.edu/dbin/archives/content/holdings/LFA2409/HTML 
p00yktnq,334736,2410,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334736,http://www.bu.edu/dbin/archives/content/holdings/LFA2410/HTML
p00yktn8,334743,2411,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334743,http://www.bu.edu/dbin/archives/content/holdings/LFA2411/HTML
p00ykt8v,334753,2412,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334753,http://www.bu.edu/dbin/archives/content/holdings/LFA2412/HTML
p00ykw7p,334763,2413,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334763,http://www.bu.edu/dbin/archives/content/holdings/LFA2413/HTML
p00ykwb0,334769,2414,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334769,http://www.bu.edu/dbin/archives/content/holdings/LFA2414/HTML
p00ykt88,334806,2415,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334806,http://www.bu.edu/dbin/archives/content/holdings/LFA2415/HTML
p00yktmg,334809,2416,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334809,http://www.bu.edu/dbin/archives/content/holdings/LFA2416/HTML
p00ykt7n,334812,2417,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334812,http://www.bu.edu/dbin/archives/content/holdings/LFA2417/HTML
p00yktlp,334818,2418,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334818,http://www.bu.edu/dbin/archives/content/holdings/LFA2418/HTML
p00yktl2,334848,2419,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334848,http://www.bu.edu/dbin/archives/content/holdings/LFA2419/HTML
p00ykx7s,334871,2420,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334871,http://www.bu.edu/dbin/archives/content/holdings/LFA2420/HTML
p00yktkw,334874,2421,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334874,http://www.bu.edu/dbin/archives/content/holdings/LFA2421/HTML
p00ykt7g,334882,2422,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334882,http://www.bu.edu/dbin/archives/content/holdings/LFA2422/HTML
p00yktkp,334891,2423,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334891,http://www.bu.edu/dbin/archives/content/holdings/LFA2423/HTML
p00yktkf,334894,2424,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334894,http://www.bu.edu/dbin/archives/content/holdings/LFA2424/HTML
p00yktk4,334948,2425,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334948,http://www.bu.edu/dbin/archives/content/holdings/LFA2425/HTML
p00ykt75,334953,2426,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=334953,http://www.bu.edu/dbin/archives/content/holdings/LFA2426/HTML
